Title,Artist,Year,Rank,Lyrics
Love,Musiq Soulchild,2001,67,"[Verse 1]LoveSo many things I've got to tell youBut I'm afraid I don't know how'Cause there's a possibilityThat you'll look at me differentlyLoveEver since the first moment I spoke your nameFrom then on I knew that by you being in my lifeThings were destined to change 'cause[Chorus]LoveSo many people use your name in vainLoveThose who have faith in you sometimes go astrayLoveThrough all the ups and downs the joys and hurtsLoveFor better or worse I still will choose you first[Verse 2]Many days I've longed for youWanting youHoping for the chance to get to know youLonging for your kissFor your touch, your feel, your PresenceMany nights I've cried from the things you doFelt like I could die from the thought of losing youI know that you're realWith no doubts and no fearsAnd no questions"
It's Over Now,112,2001,68,"[Verse 1: Daron Jones]What is this, numbers in your pocket?I remember when you used to throw those things awayWhy do you wanna keep in touch now?Who gave you a reason to act so shady?[Pre-Chorus: 112 and Daron Jones]Baby you know, you can call me anytimeAnything you needed, I would give it to youThat's how much I care for youWanna act now, never call me back nowTurnin' off your cell phone, girl you know that ain't coolI don't understand baby[Chorus]Baby, it's a shame we gotta go through thisWe can't even talk, girl we don't even kissI never woulda thought we'd be breakin' up like thisBut it's over now (it's over now)[Verse 2: Slim]You think that I don't know what's goin' on'cause you're always home aloneAnd I'm always out of townYou need to stop trying to play me'Cause you can't even fade meI know you're messin' around baby"
No More (Baby I'ma Do Right),3LW,2001,69,"[Verse 1: Kiely]I'm getting a little tired of your broken promises, promisesLooking at your pager, seeing different numbers and numbersCall you on your cell, you hangin' with the fellas, the fellasHangin' with my girls, you always getting jealous 'n' jealousI was with you when you didn't have no dollars, no dollarsHangin' at the crib, chillin' wit yo momma, yo mommaNever fronted you, never brought the drama, the dramaNow, you flipped the script, playa, please[Pre-Chorus](No, I'm not the one)Say it again, say it again, oh(No, I'm not the one)You do or you don't[Chorus]You do or you don't, don'tYou will or you won't, won'tNo moreNo more, baby, I'ma do rightYou can or you can't, can'tBe a man, be a man, manNo moreNo more, baby, I'ma do right"
Turn Off the Light,Nelly Furtado,2001,70,"[Verse 1]It's getting so lonely inside this bedDon't know if I should lick my wounds or say ""woe is me"" insteadAnd there's an aching inside my headIt's telling me, ""You're better off alone""[Pre-Chorus]But after midnight, morning will comeAnd the day will see if you will get some[Chorus]They say that girl ya know, she act too tough tough toughWell it's till' I turn off the light, turn off the lightThey say that girl you know, she act so rough rough roughWell it's 'til I turn off the light, turn off the lightAnd I say, follow me follow me follow me down down down down'Til you see all my dreamsNot everything in this magical world is quite what it seems[Verse 2]I looked above the other day'Cause I think I'm good and ready for a changeI live my life by the moon (By the moon)If it's high play it low, if it's harvest go slow and if it's full, then go[Pre-Chorus]But after midnight, morning will comeAnd the day will see if you're gonna get some"
Ain't Nothing 'bout You,Brooks & Dunn,2001,71,"[Verse 1]Once I thought that love was something I could never doNever knew that I could feel this muchBut this yearning in the deep part of my heart for youIs more than a reaction to your touchIt's a perfect passionAnd I can't get enough[Chorus]The way you look, the way you laughThe way you love with all you haveThere ain't nothing 'bout youThat don't do something for meThe way you kiss, the way you cryThe way you move when you walk byThere ain't nothing 'bout you (Nothing 'bout you)That don't do something for me[Verse 2]In my life I've been hammered by some heavy blowsThat never knocked me off my feetAll you gotta do is smile at me and down I goAnd baby, it's no mysteryWhy I surrenderGirl, you got everything"
Play,Jennifer Lopez,2001,72,"[Intro]UhYeah[Verse 1]I could wait all night and dayTo go to a party, sit down and waitGive my request to the DJ'Cause my song, he's gotta play (Just play my song)And when I hear that beat, I get my body up out my seatI grab a guy and move my feetHe's playing my song[Chorus]Play, come on play that songPlay it all night longJust turn it up and turn it onPlay, come on, DJ, play that songYou know that it turns me on (DJ, just play that song)Just turn it up and turn it onDJ, just play that song'Cause I wanna be dancing (DJ) all night longPlay my, play my, play my, play myPlay my favorite song (Uh)[Verse 2]I don't care if everybody's goneTurn it up 'cause it turns me onKeep dancing all night longFeels so right that it can't be wrong (Can't be wrong)I get chills up and down my spineWhenever I hear that song of mineWhen it stops, better press rewind (Play that shit again)Let me hear it one more time"
I'm Already There,Lonestar,2001,73,"[Verse 1]He called her on the roadFrom a lonely cold hotel roomJust to hear her say I love you one more timeBut when he heard the soundOf the kids laughing in the backgroundHe had to wipe away a tear from his eyeA little voice came on the phoneSaid ""Daddy when you coming home""He said the first thing that came to his mind[Chorus 1]I'm already thereTake a look aroundI'm the sunshine in your hairI'm the shadow on the groundI'm the whisper in the windI'm your imaginary friendAnd I know I'm in your prayersOh I'm already there[Verse 2]She got back on the phoneSaid I really miss you darlingDon't worry about the kids they'll be alrightWish I was in your armsLying right there beside youBut I know that I'll be in your dreams tonightAnd I'll gently kiss your lipsTouch you with my fingertipsSo turn out the light and close your eyes"
My Baby,Romeo Miller,2001,74,
Beautiful Day,U2,2001,75,"[Verse 1]The heart is a bloom, shoots up through the stony groundThere's no room, no space to rent in this townYou're out of luck, and the reason that you had to careThe traffic is stuck, and you're not moving anywhereYou thought you'd found a friend to take you out of this placeSomeone you could lend a hand in return for grace[Chorus]It's a beautiful daySky falls, you feel likeIt's a beautiful dayDon't let it get away[Verse 2]You're on the road, but you've got no destinationYou're in the mud, in the maze of her imaginationYou love this town even if that doesn't ring trueYou've been all over, and it's been all over you[Chorus]It's a beautiful dayDon't let it get awayIt's a beautiful dayOoh-hoo-hoo"
Austin,Blake Shelton,2001,76,"[Verse 1]She left without leaving a numberSaid, she needed to clear her mindHe figured she'd gone back to Austin'Cause she talked about it all the timeIt was almost a yearBefore she called him upThree rings and an answering machineIs what she got[Chorus]If you're calling 'bout the car, I sold itIf this is Tuesday night I'm bowlingIf you've got something to sellYou're wasting your time, I'm not buyingIf it's anybody else, wait for the toneYou know what to doAnd P.S. if this is AustinI still love you[Verse 2]The telephone fell to the counterShe heard but she couldn't believeWhat kind of man would hang on that longWhat kind of love that must beShe waited three daysAnd then she tried againShe didn't know what she'd sayBut she heard three rings and then"
Southern Hospitality,Ludacris,2001,77,"[Intro: Ludacris & (Pharrell)]We drop bows on 'em, bows on 'em, when weWe drop bows on 'em, bows on 'em, when we (throw dem 'bows)We drop bows on 'em, bows on 'em, when weWe drop bows on 'em, bows on 'em, when we (throw dem 'bows)[Verse 1: Ludacris]Cadillac grills, Cadillac millsCheck out the oil my Cadillac spillsMatter of fact, candy-paint Cadillacs killSo check out the hoes my Cadillac fills20-inch wide, 20-inches highHo, don't you like my 20-inch ride?20-inch thighs make 20-inch eyesHoping for American 20-inch piesPretty-ass clothes, pretty-ass toesOh, how I love these pretty-ass hoesPretty-ass, high-class, anything goesCatch 'em in the club throwing pretty-ass bowsLong john drawers, long john stallsAny stank puss make my long john pauseWomen on their cell making long john callsAnd if they like to juggle, get long john's balls[Chorus: Ludacris & Pharrell Williams]All my players in the house that can buy the barAnd the ballin'-ass niggas with the candy carsIf you a pimp and you know you don't love them hoesWhen you get on the floor, nigga, throw dem bowsAll my women in the house if you chasing cashAnd you got some big titties with a matching assWith your fly-ass boots or your open-toesWhen you get on the floor, nigga, throw dem 'bows"
Grown Men Don't Cry,Tim McGraw,2001,78,"[Verse 1]I pulled into the shopping centreAnd saw a little boy wrapped around the legs of his motherLike ice cream melting they embracedYears of bad decisions running down her faceAll morning I would been thinking my life is so hardAnd they wore everything they own, living in a carI wanted to tell him it would be okBut I got just got in my suburban and I drove away[Chorus]But I don't know why they say grown men don't cryI don't know why they say grown men don't cry[Verse 2]Keep having this dream about my old manI am 10 years old, and he is holding my handWe are talking on the front porch watching the sun go downBut it was just a dream he was a slave to his job and he could not be aroundSo many things I want to say to himBut I just placed a rose on his grave, and I talk to the wind[Chorus]And I don't know why they say grown men don't cryI don't know why they say grown men don't cry, don't cry"
Livin' It Up,Ja Rule,2001,79,"[Intro: Ja Rule]Yea, yea, yeaWhere all my...Uhh, yea.. c'mon, c'mon uhhTo all my ladies that be givin' it up, uhTo everybody that be livin' it up, we say...To all my ladies that be givin' it up, ahC'mon, baby[Verse 1: Ja Rule]This ain't your typical, everyday, one night thingIt's a physical, I'ma love you tonight thingLove , callin' your name, put your phone in the RangeAnd roll over, i just really wanted to hold yaTime to know ya - that's a good chickBefore it's all over, I'ma meat this chickProbably treat this chick, mo' bettaCause if you ain't - know, thugs and ladies go togetherPoppin' my collar, patnah - who in the spot?Baby, Rule in the spot; and the mug and the watch uglyHalf the hoes hate me, half them love meThe ones that hate me only hate me cause they don't trust meAnd they say I'm lucky; you think I got timeTo blow all this dough and do all these shows?Or flight in the llama chargin white RollsUh-oh, another episode"
Loverboy,Mariah Carey,2001,80,"[Intro: Mariah Carey]Uh, woah, woahReRe's got a new boyfriend (yeah, uh-uh)ReRe and Kenny sitting in a treeK-I-S-S-I-N-GAh, uh-huh, uh-huh, babyAh, uh-huh, uh-huh, baby (Oh)Ah, uh-huh, uh-huh, babyWhoo![Hook: Mariah Carey]I want him, I want him, I want him, I want himI need him, I need him, I need him, I need himI love him, I love him, I love him, I love himI love him, I love him, I love him, I love him[Verse 1: Mariah Carey]I got myself a loverWho knows what I likeWhen he invites me overI come every timeAnd when my sugar daddyTakes me for a rideWhatever way we go it'sDelirium time"
Contagious,The Isley Brothers,2001,81,"[Intro: R. Kelly]Here is a story about a man comin' in andFinding his woman in bed withWell, listen[Verse 1: Ron Isley]It's 2 A.M., I'm just getting in, about to check my messageNo one has called but my homies and some bill collectorsCellular rings, somebody wants to borrow moneyI two-way her, she don't hit me back, something is funnySo I called her mother's house and asked her had she seen my baby(Oh I) Drove my six around, looking for that missing ladyGot back in, turned the TV on and caught the newsThen I put my hand on my head cause I'm so confused[Pre-Chorus: Ron Isley]And then I turned the TV down (TV down)Cause I thought I heard a squeaky sound (Whoa)Hm, something's going on upstairs, yeahCause I know nobody else lives here, yeah (Bump bump bump)As I get closer to the stairways, all I hearAnd then I hear my baby's voice in my ear, screaming out[Chorus: Ron Isley]""You're contagious, touch me babyGive me what you got"" (Then a man said)""Sexy lady (Ooh) drive me crazyDrive me wild"" (All I heard was my baby's voice screaming)""You're contagious, touch me baby (Touch me)Give me what you got"" (Yeah, yeah, yeah, yeah, yeah)""Sexy lady (Then I heard another man) drive me crazy (Yeah)Drive me wild"" (And I just can't believe this shit, aw yeah)"
Who I Am,Jessica Andrews,2001,82,If I live to be a hundredAnd never see the seven wondersThat'll be alrightIf I don't make it to the big leaguesIf I never win a GrammyI'm gonna be just fineCause I know exactly who I amI am Rosemary's granddaughterThe spitting image of my fatherAnd when the day is doneMy momma's still my biggest fanSometimes I'm clueless and I'm clumsyBut I've got friends that love meAnd they know just where I standIt's all a part of meAnd that's who I amSo when I make a big mistakeAnd when I fall flat on my faceI know I'll be alrightShould my tender heart be brokenI will cry those teardrops knowingI will be just fineCause nothing changes who I am
Music,Erick Sermon,2001,83,"[Intro: Sermon & (Gaye)](Just like music..)Uh-huh, aiyyo yo, uh-huh yeah yeah, uh uh uhThere's no doubt, no doubt, no doubt, uhWorrdd up..(Ahhh babyyy...)(Just like music...)[Verse 1: Sermon & (Gaye)]To relax my mind, so I can be freeAnd ab-sorb sound that keep me 'roundDoin my thang, constantly with no worriesPeace to Keith Murray.. (""just like music"")To keep me flowin and keep me goinAnd keep me growin, and keep me the E from knowinWhat happens out there, is not my concernYou wanna die it's not my turn (""just like music"")To do somethin to me like jump in the MercedesOn the highway, doin over eightyWithout music baby.. (""Oww! I'll go crazy.. just like music"")Make me call my homey on the phoneLike there's somethin new out, that got me in the zoneJust that feelin, got meI wish music can adopt me (""just like music"")[Hook: Gaye]Turn on some music, I got my musicTurn on some music, I got my musicTurn on some music, I got my musicTurn on some music, I got my music - just like music"
I Wanna Be Bad,Willa Ford,2001,84,"[Intro: Willa Ford]Oh, I, I, I[Refrain: Willa Ford]I wanna be bad witchu, babyI, I, I, II wanna be bad witchu, baby[Verse 1: Willa Ford]Do you, understand what I need, need from you?Just let me the girl to show you, youEverything that you can beExcept the thing that I can be (I wanna be)My turn, lemme letchu know that I, I canPromise that I won't do thatSo boy, say the time and place'Cause you make me wanna misbehave[Chorus: Willa Ford]I wanna be bad (Bad), make that look so goodI've got things on my mind, I never thought I wouldI, I wanna be bad (Bad), make that feel so goodI'm losin' all my coolI'm about to break the rulesI, I wanna be bad"
Don't Happen Twice,Kenny Chesney,2001,85,"[Verse 1]I haven't seen you in foreverOh you haven't changed a bitYou didn't think that I would rememberHow could I forget[Chorus]We sang Bobby McGhee on the hood of my carMade a wish on every starIn that clear September skyOne bottle of wine and two Dixie cups3 AM I fell in loveFor the first time in my lifeOh that's something that just don't happen twice[Verse 2]To this day I still taste that first kissHow I prayed it wouldn't endIn a way, seeing you like thisI guess it never really did[Chorus]We sang Bobby McGhee on the hood of my carMade a wish on every starIn that clear September skyOne bottle of wine and two Dixie cups3 AM I fell in loveFor the first time in my lifeOh that's something that just don't happen twice"
One More Day,Diamond Rio,2001,86,"[Verse 1]Last night I had a crazy dreamA wish was granted just for meIt could be for anythingI didn't ask for money or a mansion in MalibuI simply wished for one more day with you[Chorus]One more day, one more timeOne more sunset, maybe I'd be satisfiedBut then again, I know what it would doLeave me wishing still for one more day with youOne more day[Verse 2]First thing I'd do is pray for time to crawlI'd unplug the telephone and keep the TV offI'd hold you every secondSay a million I love you'sThat's what I'd do with one more day with you[Chorus]One more day, one more timeOne more sunset, maybe I'd be satisfiedBut then again, I know what it would doLeave me wishing still for one more day with youOne more dayOne more day, one more timeOne more sunset, maybe I'd be satisfiedBut then again, I know what it would doLeave me wishing still for one more day with youOne more day"
I Wish,R. Kelly,2001,87,"[Intro]I wish, I wish, I wish(To every city)I wish, I wish, I wish(Every hood)I wish, I wish, I wish(And every block)I wish, I wish, I wish(Ghetto America!)[Verse 1]Rolling through the hood, just stopped by to say what's upAnd let you know that your baby boy ain't doing so toughAnd even though you passed, going on four long yearsI'm still waking up late at night crying tearsJust thinking about those days you used to talk to meSmiling while I'm sipping on this HennessyAnd remember we bragged on how rich we would beTo get up out this hood was like a fantasy[Pre-Chorus]And now you hear my songs the radio is playingOh, I can't believe my ears and what everybody's sayingAnd boy, I'll tell you, folks don't know the halfI would give it all up just to take one ride(With you)How I used to kick it on the front porch(With you)And how I used to lay back and smoke weed(With you)And all the little basement party joints we'd doNow I'm just missing youHow I wish"
It's a Great Day to Be Alive,Travis Tritt,2001,88,"[Verse 1]I got rice cookin' in the microwaveGot a three day beard I don't plan to shaveAnd it's a goofy thing but I just gotta say, heyI'm doin' alright[Verse 2]Yeah I think I'll make me some homemade soupI'm feelin' pretty good and that's the truthIt's neither drink nor drug induced, noI'm just doin' alright[Chorus]And it's a great day to be aliveI know the sun's still shiningWhen I close my eyesThere's some hard times in the neighborhoodBut why can't every day be just this good[Verse 3]It's been fifteen years since I left homeAnd said good luck to every seed I'd sownGave it my best and then I left it aloneI hope they're doin' alright[Verse 4]Now I look in the mirror and what do I seeA lone wolf there starin' back at meLong in the tooth but harmless as can beLord I guess he's doing alright"
I'm a Thug,Trick Daddy,2001,89,"[Intro]Funk, hit me up with some of that thugYup, just like that, hit 'em in the chest with itOne time, one time again in the headFor Buddy Roe y'all, check it out[Refrain]I don't know, what this world's gonna bringBut I know one thing, that this is the life for meBaby cause I'm a thugAll day every day, baby cause I'm a thugWouldn't change for the world; uh uh, cause I'm a thugThat's right you heard, baby cause I'm a thugAh hah, oh yeah; check it out[Verse 1]Could it be my baggy jeans, or my gold teethThat make me different from y'allAin't trippin' dog, but listen dogI was raised a little different than y'allI'm just doin' my thing, usin' my ghetto slangAnd I'm representin' thug shitNiggas who I roll withWatch them niggas they're gon' love thisNiggas who - out on bond, on the runAnd got ten years on paroleSince you can't say it dog, I'mma say it for y'allMotherfuck the po-po'sFuck the judge and C.O.'s, fuck the D.A. and P.O.'sFuck the family of the victimWitness, and snitchin ass hoes - nigga"
Here's to the Night,Eve 6,2001,90,"[Verse 1]So denied, so I liedAre you the now or never kind?In a day and a day loveI'm gonna be gone for good againAre you willing to be had?Are you cool with just tonight?[Pre-Chorus]Here's a toast to all thoseWho hear me all too well[Chorus]Here's to the nights we felt aliveHere's to the tears you knew you'd cryHere's to goodbyeTomorrow's gonna come too soon[Verse 2]Put your name on the lineAlong with place and timeWanna stay not to goI wanna ditch the logical[Pre-Chorus]Here's a toast to all thoseWho hear me all too well"
You Shouldn't Kiss Me Like This,Toby Keith,2001,91,"[Verse 1]I got a funny feelin'The moment that your lips touched mineSomethin' shot right through meMy heart skipped a beat in timeThere's a different feel about you tonightIt's got me thinkin' lots of crazy thingsI even think I saw a flash of lightIt felt like electricity[Chorus]You shouldn't kiss me like this, unless you mean it like that'Cause I'll just close my eyes and I won't know where I'm atWe'll get lost on this dance floor, spinnin' aroundAnd around and around and aroundThey're all watchin' us now, they think we're fallin' in loveThey'd never believe we're just friendsWhen you kiss me like this, I think you mean it like thatIf you do baby kiss me again[Bridge]Everybody swears we make the perfect pairBut dancin' is as far as it goesGirl you've never moved me quiteQuite the way you moved me tonightI just wanted you to knowI just wanted you to know"
Get Over Yourself,Eden's Crush,2001,92,"[Verse 1:]Uh-huhYeah, yeah, yeahGet over, get over (listen)Yeah, I was right there like a little wifeI was everything that you need, always in lineI was livin' you, lovin' youFillin' your desiresBut that was then, this is nowLook me in the eye andOh, ohIf love could choose sidesOh, ohIt's taking mine[Chorus:]Get over yourself, goodbyeIt must be hard to be you, yeahLivin' in your lifeI was always the one to cryNow everything, everythingEverything is alrightGet over yourself, know why'Cuz without youSee I do anything I likeSometimes I stay out all nightAnd everything, everythingEverything is alright"
Dance with Me,Debelah Morgan,2001,93,"[Chorus]Oh, come and dance with me, my babyLet's dance 'till we go crazyThe night is young and so are weLet's make love and dance the night away[Verse 1]What I really wanna do is just dance with youAnd feel your body tightShow you how to do it rightI can show you every moveI know just what to doEach step we do is so fineOne dance and you'll be mine[Pre-Chorus]So baby, when we hit the floorYou'll be asking for moreLet's make loveAnd dance the night away[Chorus]Oh, come and dance with me, my babyLet's dance 'till we go crazyThe night is young and so are weLet's make love and dance the night away"
"So Fresh, So Clean",Outkast,2001,94,"[Produced by Organized Noize][Hook: Sleepy Brown & André 3000]Ain't nobody dope as me; I'm just so fresh, so cleanSo fresh and so clean, cleanDon't you think I'm so sexy? I'm just so fresh, so cleanSo fresh and so clean, cleanAin't nobody dope as me; I'm just so fresh, so cleanSo fresh and so clean, cleanI love when you stare at me; I'm just so fresh, so cleanSo fresh and so clean, clean[Verse 1: Big Boi]Sir Lucious gots gator belts and patty melts and Monte CarlosAnd El Dorados; so I'm waking up out of my slumber feeling like RolloSo follow, it's Showtime at the Apollo minus the Kiki ShepardsWhat about a ho in a leopard-print? AhTeddy Pendergrass, cooler than Freddie JacksonSipping a milkshake in a snowstormLeft her throat warm in the dorm room at the A.UWe blew hay too, athletes might cake youBut you must have me mistaken with them statements that you make 'cause[Hook: Sleepy Brown & André 3000]Ain't nobody dope as me; I'm just so fresh, so cleanSo fresh and so clean, cleanDon't you think I'm so sexy? I'm just so fresh, so cleanSo fresh and so clean, cleanAin't nobody dope as me; I'm just so fresh, so cleanSo fresh and so clean, cleanI love when you stare at me; I'm just so fresh, so cleanSo fresh and so clean, clean"
E.I.,Nelly,2001,95,"[Intro]Uh.. uh uh uh uhUh.. wait a minute nowUh-ohhhhhhhhhhhhhh!Uh, uh..Can you hear me out there?Lunatics.. is y'all ready?Let me hear yaUh-ohhhhhhhhhhhhhh![Verse 1]I'm a sucker for corn rows and manicured toes (hey)Fendi capri pants and Parasuco's (alright)The rise of Diddy and City, with one or two throwsI'm draftin' 'em outta high school straight into the prosWho knows? I know and I love it when you make your kneesTouch your elbows and break it down low to the Flo'And there you go now throw it on me slowAnd everytime I bust a rhyme, baby, ""Gimme Some Mo'""You say you like that, when I hit it from behind and I'll beRight back, yeah that's my very next line, I use itTime after time, when I'm speakin' my mindIt's no matter if I'm shootin' game to a pigeon or dimeI ask her, ""Who that is, talkin' that shit about the 'tics?""Somebody probably jealous 'cause they bitch got hitBut ain't nobody else droppin' shit like thisShould we apologize? Nah fuck 'em, just leave 'em pissed, hey"
Be Like That,3 Doors Down,2001,96,"[Verse 1]He spends his nights in CaliforniaWatching the stars on the big screenThen he lies awake and he wonders""Why can’t that be me?""'Cause in his life he's filled with all these good intentionsHe’s left a lot of things he’d rather not mention right nowBut just before he says goodnightHe looks up with a little smile at me and he says[Chorus]If I could be like thatI would give anythingJust to live one day, in those shoesIf I could be like thatWhat would I do?What would I do?Now and dreams we run[Verse 2]She spends her days up in the north parkWatching the people as they passAnd all she wants is just a little piece of this dreamIs that too much to ask?With a safe home, and a warm bedOn a quiet little streetAll she wants is just that something to hold ontoThat’s all she needsYeah"
Most Girls,Pink,2001,97,"[Verse 1]I never cared too much for loveIt was all a bunch of mush, that I just did not wantPaid, was the issue of the dayIf a girlfriend's got some gameCouldn't be more fly, getting paid was everything[Pre-Chorus]But I'm not every girl, and I don't need that world to validate me'Cause shorty got a job, shorty got a carShorty can pay her own rentDon't wanna dance if it's not in my heart[Chorus]Most girls want a man with the bling blingGot my own thing, got the ching chingI just want real loveMost girls want a man with the mean greenDon't wanna dance if he can't be everything that I dream ofA man that understands real love[Verse 2]I was a girl about the flossIt was all about the cost, how much he spent on meSeek, for a man who has got the meansTo be giving you diamond ringsIt's what every fly girl could want or even dream"
Oochie Wally,QB Finest,2001,98,
Hero,Enrique Iglesias,2001,99,"[Intro]Let me be your hero[Verse 1]Would you dance, if I asked you to dance?Would you run, and never look back?Would you cry, if you saw me crying?Would you save my soul, tonight?Would you tremble, if I touched your lips?Would you laugh? Oh please, tell me thisNow would you die, for the one you loved?Hold me in your arms, tonight[Chorus]I can be your hero, babyI can kiss away the painI will stand by you foreverYou can take my breath away[Verse 2]Would you swear, that you'll always be mineOr would you lie?Would you run and hide?Am I in too deep? Have I lost my mind?I don't care, you're here tonight"
Hemorrhage (In My Hands),Fuel,2001,100,"[Verse 1]Memories are just where you leave themDrag the waters, 'til the depths give up their deadWhat did you expect to find?Was it something you left behind?Don't you remember anything I said when I said[Chorus]Don't fall away and leave me to myselfDon't fall away and leave love bleedingIn my hands, in my hands againLeave love bleedingIn my hands, in my handsLove lies bleeding[Verse 2]""Oh, hold me now, I feel contagious""""Am I the only place that you've left to go?""She cries her life is likeSome movie, black and whiteDead actors faking linesOver and over and over again she cries[Chorus]Don't fall away and leave me to myselfDon't fall away and leave love bleedingIn my hands, in my hands againLeave love bleedingIn my hands, in my handsLove lies bleeding"
How You Remind Me,Nickelback,2002,1,"[Verse 1]Never made it as a wise manI couldn't cut it as a poor man stealingTired of livin' like a blind manI'm sick of sight without a sense of feelingAnd this is how you remind me[Pre-Chorus]This is how you remind me of what I really amThis is how you remind me of what I really am[Chorus]It's not like you to say sorryI was waitin' on a different storyThis time I'm mistakenFor handing you a heart worth breakin'And I've been wrong, I've been downBeen to the bottom of every bottleThese five words in my headScream, ""Are we havin' fun yet?""[Post-Chorus]Yet, yet, yet, no, noYet, yet, yet, no, no[Verse 2]It's not like you didn't know thatI said, ""I love you,"" and I swear I still doAnd it must have been so bad'Cause livin' with me must have damn near killed you"
Foolish,Ashanti,2002,2,"[Intro]Murder IncAshanti[Chorus]See, my days are cold without youBut I'm hurting while I'm with youAnd though my heart can't take no moreI keep on running back to youSee, my days are cold without youBut I'm hurting while I'm with youAnd though my heart can't take no moreI keep on running back to you[Verse 1]Baby, I don't know why you're treating me so bad(Treat me so bad)You said you love me, no one above me and I was all you had(All you had)And though my heart is beating for you, I can't stop cryingI don't know how I allow you to treat me this way and still I stay[Chorus]See, my days are cold without you (Without you)But I'm hurting while I'm with you (Oh, whoa)And though my heart can't take no moreI keep on running back to you (Keep on running back to you)See, my days are cold without you (Without you)But I'm hurting while I'm with youAnd though my heart can't take no moreI keep on running back to you"
Hot in Herre,Nelly,2002,3,"[Intro: Nelly]It's hot in, so hot in hereSo hot in... (Ah)Oh![Refrain: Nelly]Want a little bit of (Uh, uh), and a little bit of (Uh, uh)Just a little bit of, just a little bit ofJust a little bit of, just a little bit of[Verse 1: Nelly]I was like, good gracious, ass is bodacious (Uh)Flirtatious, tryna show patience (Ah)I'm waitin' for the right time to shoot my steez (You know)Waitin' for the right time to flash them keysThen, uh, I'm leavin', please believe in (Oh)Me and the rest of my heathensCheck it, got it locked at the top of the Fo' SeasonsPenthouse, rooftop, birds I'm feedin'No deceivin', nothin' up my sleeve andNo teasin', I need you toGet up, up on the dance floorGive that man what he askin' for (Oh)'Cause I feel like bustin' looseAnd I feel like touchin' you, uh, uhAnd can't nobody stop the juiceSo baby, tell me, what's the use? I said"
Dilemma,Nelly,2002,4,"[Intro: Kelly Rowland]I love youAnd I need youNelly, I love youI do need you[Chorus: Kelly Rowland & Nelly]No matter what I do (Woo!)All I think about is youEven when I'm with my booBoy, you know I'm crazy over youNo matter what I doAll I think about is youEven when I'm with my booYou know I'm crazy over you[Verse 1: Nelly & Kelly Rowland]I met this chick and she just moved right up the block from meAnd uh, she got the hots for meThe finest thing my hood done seenBut oh no, oh noShe got a man and a son thoughBut that's okay 'cause IWait for my cue and just listen, play my positionLike a shortstop, pick up e'rything mami hittin'And in no time, I plan to make this one here mineAnd that's for sure 'cause II never been the type to break up a happy home, but uhThere's somethin' 'bout baby girl I just can't leave aloneSo tell me, Ma, what's it gonna be?She said: ""You don't know what you mean to me"""
Wherever You Will Go,The Calling,2002,5,"[Verse 1]So lately, been wonderingWho will be there to take my place?When I'm gone, you'll need loveTo light the shadows on your face[Pre-Chorus 1]If a great wave shall fallAnd fall upon us allThen between the sand and stoneCould you make it on your own?[Chorus]If I could, then I wouldI'll go wherever you will goWay up high or down lowI'll go wherever you will go[Verse 2]And maybe I'll find outA way to make it back somedayTo watch you, to guide youThrough the darkest of your days[Pre-Chorus 2]If a great wave shall fallAnd fall upon us allThen, I hope there's someone out thereWho can bring me back to you"
A Thousand Miles,Vanessa Carlton,2002,6,"[Intro][Verse 1]Makin' my way downtownWalkin' fast, faces passAnd I'm homeboundStarin' blankly aheadJust makin' my wayMakin' a way through the crowd[Pre-Chorus 1]And I need youAnd I miss youAnd now I wonder[Chorus]If I could fall into the skyDo you think time would pass me by?'Cause you know I'd walk a thousand milesIf I could just see youTonight[Verse 2]It's always times like these when I think of youAnd I wonder if you ever think of me'Cause everything's so wrong, and I don't belongLivin' in your precious memory"
In the End,Linkin Park,2002,7,"[Verse 1: Mike Shinoda & Chester Bennington](It starts with one) One thing, I don't know whyIt doesn't even matter how hard you tryKeep that in mind, I designed this rhymeTo explain in due time all I knowTime is a valuable thingWatch it fly by as the pendulum swingsWatch it count down to the end of the dayThe clock ticks life away, it's so unreal (It's so unreal)Didn't look out belowWatch the time go right out the windowTryin' to hold on, didn't even knowI wasted it all just to watch you go[Pre-Chorus: Mike Shinoda]I kept everything insideAnd even though I tried, it all fell apartWhat it meant to me will eventually beA memory of a time when I tried so hard[Chorus: Chester Bennington]I tried so hard and got so farBut in the end it doesn't even matterI had to fall to lose it allBut in the end it doesn't even matter"
